,Pokedex_number,Name,Evolution,Base_type,Secondary_type,Abilities,Generation,Legendary,Attack,Defense,Hp,Sp_attack,Sp_defense,Speed,Height_m,Weight_kg,Against_bug,Against_dark,Against_dragon,Against_electric,Against_fairy,Against_fight,Against_fire,Against_flying,Against_ghost,Against_grass,Against_ground,Against_ice,Against_normal,Against_poison,Against_psychic,Against_rock,Against_steel,Against_water,Base_egg_steps,Base_happiness,Base_total,Capture_rate,Experience_growth
0,1,Bulbasaur,Ivysaur,Grass,Poison,"['Overgrow', 'Chlorophyll']",1.0,0.0,49,49,45,65,65,45,0.7,6.9,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,5120.0,70.0,318,45,1059860.0
1,2,Ivysaur,Venusaur,Grass,Poison,"['Overgrow', 'Chlorophyll']",1.0,0.0,62,63,60,80,80,60,1.0,13.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,5120.0,70.0,405,45,1059860.0
2,3,Venusaur,Unknown,Grass,Poison,"['Overgrow', 'Chlorophyll']",1.0,0.0,100,123,80,122,120,80,2.0,100.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,5120.0,70.0,625,45,1059860.0
3,4,Charmander,Charmeleon,Fire,-,"['Blaze', 'Solar Power']",1.0,0.0,52,43,39,60,50,65,0.6,8.5,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,5120.0,70.0,309,45,1059860.0
4,5,Charmeleon,Charizard,Fire,-,"['Blaze', 'Solar Power']",1.0,0.0,64,58,58,80,65,80,1.1,19.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,5120.0,70.0,405,45,1059860.0
5,6,Charizard,Unknown,Fire,Flying,"['Blaze', 'Solar Power']",1.0,0.0,104,78,78,159,115,100,1.7,90.5,0.25,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0,5120.0,70.0,634,45,1059860.0
6,7,Squirtle,Wartortle,Water,-,"['Torrent', 'Rain Dish']",1.0,0.0,48,65,44,50,64,43,0.5,9.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,5120.0,70.0,314,45,1059860.0
7,8,Wartortle,Blastoise,Water,-,"['Torrent', 'Rain Dish']",1.0,0.0,63,80,59,65,80,58,1.0,22.5,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,5120.0,70.0,405,45,1059860.0
8,9,Blastoise,Unknown,Water,-,"['Torrent', 'Rain Dish']",1.0,0.0,103,120,79,135,115,78,1.6,85.5,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,5120.0,70.0,630,45,1059860.0
9,10,Caterpie,Metapod,Bug,-,"['Shield Dust', 'Run Away']",1.0,0.0,30,35,45,20,20,45,0.3,2.9,1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3840.0,70.0,195,255,1000000.0
